Date;;;;;
;NVDA;NVDA;NVDA;NVDA;NVDA
09/06/2010;0.2500804662704468;0.2645214293215758;0.24916359273957145;0.25764476853876145;697152000
10/06/2010;0.26016613841056824;0.2613122436637965;0.25443561214442667;0.2551232807614246;611768000
11/06/2010;0.2661260962486267;0.26727220236141985;0.2567280151935928;0.2574156843263337;442104000
14/06/2010;0.26039549708366394;0.27048121728903823;0.25970782813208887;0.27002278042976086;375080000
15/06/2010;0.27323177456855774;0.2746070845497863;0.2629167994201601;0.26337526340587575;528632000
16/06/2010;0.2697935998439789;0.2739195865979173;0.2661260499904069;0.2713981426579215;366480000
17/06/2010;0.28010857105255127;0.2807962401099178;0.26956438504045666;0.27919169719294396;859068000
18/06/2010;0.281942218542099;0.2853805349480624;0.2796500076047901;0.2817129865182442;932832000
21/06/2010;0.27529487013816833;0.28858970288903585;0.2727734537722582;0.28790206126898976;579836000
22/06/2010;0.26497983932495117;0.2821714212324149;0.2636045018422302;0.2787331048509221;818164000
23/06/2010;0.26795974373817444;0.27071039163237814;0.259936977448336;0.2675013069766925;614060000
24/06/2010;0.25466492772102356;0.26773055515889765;0.25374805404921186;0.2663552173258636;725028000
25/06/2010;0.25397732853889465;0.2567279773389489;0.2498513416761527;0.2564987452200606;507220000
28/06/2010;0.2544357180595398;0.2581032673266997;0.249851295138248;0.25581105586605374;372008000
29/06/2010;0.24022410809993744;0.24916375376732727;0.2386195647212767;0.24893452157380572;660808000
30/06/2010;0.23403501510620117;0.24320386077019926;0.23403501510620117;0.24068241728247358;623072000
01/07/2010;0.23793181777000427;0.23953636062470557;0.22761685062313688;0.23472273206060168;737008000
02/07/2010;0.234951913356781;0.2393071318986359;0.22692917256029496;0.23884869503247178;737096000
06/07/2010;0.23243044316768646;0.24159928767143413;0.23036743675915602;0.2340349854907799;712020000
07/07/2010;0.2436622977256775;0.2450376355061786;0.23288890952947036;0.23334734634786555;608412000
08/07/2010;0.23632726073265076;0.2454961077239201;0.23334737999542432;0.24526690294433004;783272000
09/07/2010;0.23724409937858582;0.23884866922476322;0.23426421908251907;0.23747333144955843;571516000
12/07/2010;0.24159935116767883;0.2445792318796204;0.23701492771094385;0.23724413248858905;565396000
13/07/2010;0.25030967593193054;0.2519142181301327;0.24412071183868805;0.24549602201201423;723316000
14/07/2010;0.2528311014175415;0.2631460499679602;0.24916355322504719;0.2613122758717131;1355664000
15/07/2010;0.24572525918483734;0.2532895609351881;0.2427453794255706;0.2530603289055097;953088000
16/07/2010;0.23036743700504303;0.24641294222903992;0.22945056348381443;0.24572527342546244;1288604000
19/07/2010;0.23976550996303558;0.24068238347050336;0.23197197584831303;0.23357654547434908;798440000
20/07/2010;0.24572525918483734;0.24710056938697625;0.2315135291522284;0.2335765354434025;1160988000
21/07/2010;0.23770250380039215;0.2482466857724611;0.2354102927043173;0.2480174810580406;624940000
22/07/2010;0.24159935116767883;0.24412079499901077;0.2388487025587017;0.24022401320053063;462612000
23/07/2010;0.2374732941389084;0.24159927949095256;0.23518108309058508;0.2413700474559958;817604000
26/07/2010;0.24182859063148499;0.24274549184953725;0.23311817934926568;0.23678572957082847;683548000
27/07/2010;0.23976550996303558;0.2429745945644844;0.2367856300757979;0.24251615781075053;683472000
28/07/2010;0.2322012484073639;0.23999478388207215;0.2315135794941078;0.23586879772785205;1320808000
29/07/2010;0.20927909016609192;0.22005249156294138;0.20790376610722908;0.21546806892496045;2664476000
30/07/2010;0.21065448224544525;0.21432201856967922;0.20446550188955606;0.20767460129675852;984288000
02/08/2010;0.2104252129793167;0.2152388680717285;0.20950832564444502;0.21432198073685682;917020000
03/08/2010;0.20492392778396606;0.20904991446596016;0.2033193849980017;0.2088206960197738;955444000
04/08/2010;0.21363428235054016;0.21432195117249894;0.20584076157318515;0.20675764878157804;855496000
05/08/2010;0.21638497710227966;0.21684341394533038;0.21042521616666912;0.21432198398323435;800504000
06/08/2010;0.2189064770936966;0.22119868936755788;0.21363438339875046;0.21546815868290464;739904000
09/08/2010;0.22096939384937286;0.22142784434194068;0.2156973019921205;0.22119861226432772;466456000
10/08/2010;0.21180054545402527;0.2177602924859117;0.21088365814235244;0.21730185566140425;772560000
11/08/2010;0.2035486102104187;0.20744536491309987;0.20286094118634065;0.20744536491309987;796148000
12/08/2010;0.20538237690925598;0.20996680045170887;0.1982765094883261;0.19988105226312064;1343584000
13/08/2010;0.21523886919021606;0.2182187496283694;0.2115713198316709;0.21202977033281822;1797392000
16/08/2010;0.20973756909370422;0.21661420398399336;0.20698690693999314;0.21225899915427843;814008000
17/08/2010;0.21248817443847656;0.21638494161598704;0.20973752650595076;0.21180051928667323;481224000
18/08/2010;0.21363428235054016;0.21546805676732594;0.2104251839524932;0.21180052159641077;352920000
19/08/2010;0.2264706790447235;0.22715834787610134;0.21478039088723952;0.21592649649776488;1615100000
20/08/2010;0.2285337597131729;0.23403508515331753;0.22463700460473113;0.22486622308240503;1305308000
23/08/2010;0.22509542107582092;0.23495193768278697;0.22440775204271704;0.22922140794912313;748620000
24/08/2010;0.22280314564704895;0.2250953568868597;0.21730183593897182;0.2177602727218713;641332000
25/08/2010;0.22738756239414215;0.22922133680482326;0.2191355912087335;0.22028171046240144;757532000
26/08/2010;0.22463689744472504;0.2328888680057887;0.22463689744472504;0.23036742496621074;657596000
27/08/2010;0.23197197914123535;0.2338057535075136;0.2202817051285157;0.22601223294481512;1060416000
30/08/2010;0.22096939384937286;0.23105514073396782;0.22096939384937286;0.22922136608901272;602804000
31/08/2010;0.2138635814189911;0.22463698558406744;0.21317591238153447;0.2177603361974834;931488000
01/09/2010;0.21546807885169983;0.21982328329095993;0.21432197313940285;0.21707263504651028;851440000
02/09/2010;0.21936483681201935;0.22005249201152396;0.2140927453025311;0.21615573822635945;596292000
03/09/2010;0.22692914307117462;0.22761679828106096;0.22188626988538782;0.22463693171290539;566484000
07/09/2010;0.22899214923381805;0.2342642274643226;0.22578305041461716;0.2262414872476495;899820000
08/09/2010;0.2365565001964569;0.23816107051544877;0.22692921490912313;0.22945065913154736;1224156000
09/09/2010;0.2333473563194275;0.2397655540271738;0.23036747588454706;0.23953632194552274;697748000
10/09/2010;0.23082593083381653;0.23563958632364904;0.22876295123835622;0.234951917350056;609292000
13/09/2010;0.24389144778251648;0.24687132708799453;0.2349518098660823;0.2349518098660823;1015792000
14/09/2010;0.24159935116767883;0.24480843665726562;0.23953634421695655;0.24182855594532404;698536000
15/09/2010;0.24205775558948517;0.24228698766171067;0.2360979949647778;0.23930710734935698;555572000
16/09/2010;0.2422870695590973;0.2443500496051889;0.23884875126539476;0.23884875126539476;365280000
17/09/2010;0.24182859063148499;0.24480847177083936;0.24114094887459972;0.24457926696031868;416884000
20/09/2010;0.24549607932567596;0.24641298031393025;0.23953631854063023;0.24182853002329147;443168000
21/09/2010;0.2587909400463104;0.26291692663703786;0.24412079586296773;0.24412079586296773;1779624000
22/09/2010;0.2610831558704376;0.2633753674028994;0.25626950072214116;0.257874043329801;999996000
23/09/2010;0.2663552463054657;0.27460721955085643;0.26177082279698627;0.264063034551226;1240872000
24/09/2010;0.2810254395008087;0.28194234066808255;0.27025204889392285;0.2723150287009761;1086976000
27/09/2010;0.2750655710697174;0.2833175136090314;0.2713980228353723;0.28308830892270254;999504000
28/09/2010;0.2743780016899109;0.2782747560212804;0.2695643463053662;0.27529487541776787;723192000
29/09/2010;0.27231496572494507;0.2803377329506152;0.2693350854397502;0.27185652890998785;974904000
30/09/2010;0.26773059368133545;0.2789624480663659;0.2654383818466746;0.27575333510264843;787632000
01/10/2010;0.26016613841056824;0.2720856549043864;0.25810315988487914;0.2716271909428513;999120000
04/10/2010;0.2576449513435364;0.2620001720186002;0.2523728564870548;0.2576449513435364;749500000
05/10/2010;0.25947868824005127;0.2636046760902661;0.25879101904412755;0.2631462390680928;753588000
06/10/2010;0.24710066616535187;0.2606247327310134;0.24457924947791482;0.2594786267843635;1057604000
07/10/2010;0.2452668994665146;0.24847598493782716;0.2379318001172532;0.2482467528361681;761488000
08/10/2010;0.24893434345722198;0.25099734974681115;0.24091160497898856;0.24434992146966003;706932000
11/10/2010;0.24778829514980316;0.2521435134383565;0.24664218938839177;0.25008050667262594;442680000
12/10/2010;0.25260189175605774;0.25374799725194397;0.24366225249295886;0.24572525878074034;605208000
13/10/2010;0.259937047958374;0.26360459769570643;0.2539773137918583;0.2567279624321978;968732000
14/10/2010;0.2558111250400543;0.2606247540138767;0.2546649916744889;0.26016631706284454;599172000
15/10/2010;0.2587909400463104;0.26291692663703786;0.2558110866491422;0.2599370459145503;639940000
18/10/2010;0.26039549708366394;0.2615416028945164;0.25443573593710406;0.2590201591805138;448156000
19/10/2010;0.2587909400463104;0.2606247149005581;0.25260197382287897;0.254664953455583;866136000
20/10/2010;0.2587909400463104;0.2658968073595254;0.25443574867712665;0.25902017215008616;763532000
21/10/2010;0.25420647859573364;0.25947857026706767;0.25030972469094426;0.25902013345332453;1014428000
22/10/2010;0.27048105001449585;0.27254405559338923;0.2530602415330231;0.2558109156382143;1322676000
25/10/2010;0.2730027139186859;0.2750657211732802;0.27002283276782074;0.27254427697055045;673136000
26/10/2010;0.2720857858657837;0.2762117722284025;0.2675013626462779;0.2697935742560308;675248000
27/10/2010;0.27598246932029724;0.27689934279880185;0.26887660422329857;0.26956427299483243;496796000
28/10/2010;0.27621179819107056;0.2805669897288424;0.27369035425321087;0.27965011592888633;704448000
29/10/2010;0.2755240499973297;0.2785039299787986;0.27277340206263245;0.2757532547187888;554664000
01/11/2010;0.27598246932029724;0.2817129968742282;0.27369025829872484;0.277357806863365;473920000
02/11/2010;0.28171297907829285;0.28629740083183763;0.2755240151760692;0.2771285573247481;581036000
03/11/2010;0.28377604484558105;0.28560981939708907;0.27621174189893233;0.2835468127796495;671748000
04/11/2010;0.28423455357551575;0.2895066464981711;0.2837761166529635;0.2865267655135988;700016000
05/11/2010;0.2890482246875763;0.2915696415560988;0.28492223751824847;0.286297548357809;735116000
08/11/2010;0.2901942729949951;0.2927156893619914;0.2865267235016871;0.2888189351036752;605156000
09/11/2010;0.2885896861553192;0.2924864675113218;0.2869851435927208;0.29019425604323373;633964000
10/11/2010;0.29202800989151;0.29202800989151;0.28652668636458184;0.2906526721784494;521016000
11/11/2010;0.2890482246875763;0.2938618536140228;0.28125468729544084;0.285151442328847;1089980000
12/11/2010;0.3039475381374359;0.3135748485844724;0.29867544606532487;0.3000507839364207;2142560000
15/11/2010;0.30027997493743896;0.30967805286684436;0.2995923333587202;0.30532286201681713;733548000
16/11/2010;0.2913403809070587;0.2993631215721502;0.2908819440484028;0.295237135193611;739356000
17/11/2010;0.2961539328098297;0.29959224903695625;0.28836039963315785;0.2911110471497974;551764000
18/11/2010;0.30532288551330566;0.3083027661098996;0.3000507932770731;0.3000507932770731;993120000
