Date;Close;High;Low;Open;Volume
;AAPL;AAPL;AAPL;AAPL;AAPL
25/01/2010;6.096185207366943;6.145117514813064;6.0097272955997;6.079373957879197;1065699600
26/01/2010;6.182343482971191;6.415599941900661;6.08147597671428;6.182643691040025;1867110000
27/01/2010;6.240582466125488;6.321636237504604;5.9899139464243545;6.209661436738208;1722568400
28/01/2010;5.9827094078063965;6.169134606746448;5.964997933719202;6.152023548785045;1173502400
29/01/2010;5.765665054321289;6.070069261988136;5.711328589216638;6.036446755520669;1245952400
01/02/2010;5.845817565917969;5.8839431871622665;5.742848608240047;5.77497006840278;749876400
02/02/2010;5.8797407150268555;5.893550286549331;5.805291116095373;5.881242156221584;698342400
03/02/2010;5.980907440185547;6.010027217972776;5.836510585791934;5.859025786989696;615328000
04/02/2010;5.765364170074463;5.955090849120654;5.750954183584234;5.905857530236009;757652000
05/02/2010;5.86773157119751;5.883942805064995;5.729338873749076;5.782775102281272;850306800
08/02/2010;5.827502727508545;5.940378501619082;5.823900232434702;5.874634569768032;478270800
09/02/2010;5.889649391174316;5.928975458853267;5.846420216488786;5.8965537782451065;632886800
10/02/2010;5.85752534866333;5.90195574038187;5.831708257330147;5.880640567477774;370361600
11/02/2010;5.964095115661621;5.996517175895119;5.8257024467678935;5.8503190997127295;550345600
12/02/2010;6.015431880950928;6.053257296478956;5.868933548000937;5.947285850898843;655468800
16/02/2010;6.106092929840088;6.114798563441141;6.049655012633335;6.062263351316038;543737600
17/02/2010;6.080575942993164;6.133410961508546;6.0298411785896056;6.129808464570173;436396800
18/02/2010;6.091980934143066;6.120800498836476;6.031640333801855;6.052954298333258;422825200
19/02/2010;6.0541534423828125;6.100084444937167;6.03734220244968;6.059857792732772;415469600
22/02/2010;6.016633033752441;6.07907511791057;5.979708638827361;6.074272188984478;390563600
23/02/2010;5.915763854980469;6.043949875728417;5.87523697411814;6.004023010103161;575094800
24/02/2010;6.023837089538574;6.0472525151801415;5.939179624169119;5.9508877378017075;460566400
25/02/2010;6.0640645027160645;6.08988159583449;5.91066178196193;5.925371576991525;665126000
26/02/2010;6.142714500427246;6.1592255371677584;6.064062020146111;6.075469521643217;507460800
01/03/2010;6.273902893066406;6.28921269698037;6.167631282218633;6.176637119958321;550093600
02/03/2010;6.26970100402832;6.32914058491237;6.236378316766603;6.302122265664552;566546400
03/03/2010;6.284110069274902;6.30032130204238;6.242382758546429;6.272402758344149;372052800
04/03/2010;6.325540065765381;6.331844436148995;6.263097980591949;6.282611908781703;366041200
05/03/2010;6.572904109954834;6.595419310014387;6.443217054618399;6.4525235029785435;899620400
08/03/2010;6.576807498931885;6.6071273088270885;6.551890632184862;6.604726045295875;429889600
09/03/2010;6.695085048675537;6.754524623593537;6.541081967099297;6.5536903010498255;920259200
10/03/2010;6.749722480773926;6.768935794260127;6.700489968212656;6.719402672863855;596218000
11/03/2010;6.76953649520874;6.76953649520874;6.704093139701463;6.721805415914415;405700400
12/03/2010;6.802558898925781;6.836481206144874;6.777041615484182;6.825673716343427;416323600
15/03/2010;6.71970272064209;6.769535247249666;6.61193004693439;6.765933552680453;493502800
16/03/2010;6.738014221191406;6.75392484431759;6.679775472665593;6.729909006034774;446908000
17/03/2010;6.7281084060668945;6.798054872472256;6.702591525332249;6.751523830607335;450956800
18/03/2010;6.744017601013184;6.754524478945001;6.6827763787717815;6.727505762175954;342109600
19/03/2010;6.671969890594482;6.761730075843335;6.641349076324719;6.748221117060292;559445600
22/03/2010;6.747020721435547;6.784546321925031;6.60892824314106;6.618534899474179;456419600
23/03/2010;6.855392932891846;6.8680016691918215;6.727506726719784;6.773737958196178;602431200
24/03/2010;6.885714530944824;6.91063139830884;6.829876635210568;6.833779740676431;597780400
25/03/2010;6.8040571212768555;6.9337445479528865;6.792048803541109;6.932243107424244;542284400
26/03/2010;6.93164587020874;6.963166512639333;6.861098181753544;6.873106503607268;640875200
29/03/2010;6.976373195648193;7.020803174251508;6.953258384046451;6.994686282904715;540744400
30/03/2010;7.0802435874938965;7.129177092314952;7.032211107514656;7.10275878743343;527310000
31/03/2010;7.054727554321289;7.1030606516648005;7.038517120538815;7.0694381502238794;430659600
01/04/2010;7.083847522735596;7.166702545462233;6.987182928742675;7.127076683336795;603145200
05/04/2010;7.1594977378845215;7.160098153974916;7.0478227499419175;7.054127519702874;684507600
06/04/2010;7.1910176277160645;7.212031384714835;7.114766403962342;7.150790559976982;447017200
07/04/2010;7.222839832305908;7.262466489352847;7.164600278004648;7.19131839099343;628502000
08/04/2010;7.2033257484436035;7.251057614841434;7.1459872266831574;7.218035538655887;572989200
09/04/2010;7.258563041687012;7.261565923371143;7.218636579316075;7.247756355092305;334182800
12/04/2010;7.273575305938721;7.29699073478853;7.259165317955011;7.270873032379916;333026400
13/04/2010;7.277776718139648;7.288884816954884;7.238150056615978;7.260666061488773;306210800
14/04/2010;7.375644207000732;7.3792467042690655;7.327012097125794;7.36333607547915;404076400
15/04/2010;7.472607612609863;7.475909500161511;7.370238677402161;7.37834389348245;376784800
16/04/2010;7.426977157592773;7.539252562587447;7.341419868037714;7.46210029674629;750545600
19/04/2010;7.417068958282471;7.441685210819167;7.257961936668035;7.41586812637222;566924400
20/04/2010;7.342622756958008;7.482516539909193;7.293690033900663;7.461202163359085;738326400
21/04/2010;7.781815528869629;7.81273655886562;7.677044917861515;7.769206790093621;982391200
22/04/2010;7.9994611740112305;8.007866999870075;7.691154303632766;7.752395947552089;793424800
23/04/2010;8.130351066589355;8.17087796499018;8.015374149158584;8.045093554002957;796955600
26/04/2010;8.090420722961426;8.179279889363826;8.051093874324673;8.161868626346026;479068800
