Date;;;;;
;005930.KS;005930.KS;005930.KS;005930.KS;005930.KS
09/03/2011;13272.828125;13541.267345505617;13153.52180477528;13511.440765449437;26296300
10/03/2011;12914.9150390625;13183.354381675808;12914.9150390625;13108.787897616558;41630200
11/03/2011;12855.2568359375;13064.042909839036;12825.430253951565;12840.343544944533;26884000
14/03/2011;13421.9638671875;13436.877160373264;12721.039087456598;13123.698003472222;33325000
15/03/2011;12825.4287109375;13451.78685728561;12765.775554142441;13436.873568086845;36313200
16/03/2011;13213.1767578125;13347.396386277864;13004.3906690886;13198.263465760792;39939050
17/03/2011;13272.828125;13272.828125;12944.735744382022;13093.868644662922;22505200
18/03/2011;13287.7421875;13347.395351080248;13168.435860339507;13302.655478395061;19166050
21/03/2011;13272.828125;13407.047735252809;13183.34838483146;13287.74141502809;14473500
22/03/2011;13049.1259765625;13377.218286830357;12974.559542410714;13302.651852678571;21810300
23/03/2011;13019.30078125;13123.693800114548;12810.514743520906;13123.693800114548;25229000
24/03/2011;13123.6943359375;13243.000648082387;13034.214601828835;13123.6943359375;15392550
25/03/2011;13571.0966796875;13571.0966796875;13272.830818595467;13302.65740470467;31078100
28/03/2011;13660.576171875;13750.055928459335;13556.18312252661;13645.662879110943;15890200
29/03/2011;13660.576171875;13660.576171875;13421.96348765011;13526.356536998499;17204100
30/03/2011;13809.703125;13854.442983936286;13660.570261879051;13660.570261879051;20685150
31/03/2011;13899.1865234375;13958.839684482296;13735.14033056431;13958.839684482296;26376550
01/04/2011;14018.4921875;14018.4921875;13824.619423204787;13958.83902925532;22471700
04/04/2011;14093.056640625;14093.056640625;14003.57691592262;14018.490203373016;16716750
05/04/2011;14093.056640625;14137.79650297619;13943.923766121032;14137.79650297619;11922000
06/04/2011;13764.96875;14048.321302816901;13645.66241197183;14018.49471830986;27471850
07/04/2011;13556.181640625;13943.927210103824;13496.528476089798;13794.794298765815;21781250
08/04/2011;13392.134765625;13630.74741178313;13347.39489447035;13586.00754062848;25983450
11/04/2011;13332.4794921875;13526.352236481054;13242.999764052014;13392.132644277825;20582800
12/04/2011;13153.521484375;13272.827801693595;13153.521484375;13213.174643034297;15766950
13/04/2011;13436.8740234375;13436.8740234375;13123.69493965039;13228.087967579426;16627750
14/04/2011;13421.9638671875;13421.9638671875;13183.351176215278;13421.9638671875;25265700
15/04/2011;13243.00390625;13407.050125809403;13153.52415012669;13392.136833122186;22274750
18/04/2011;12929.8193359375;13302.651496720011;12914.906049506199;13287.738210288711;27418700
19/04/2011;13049.1259765625;13049.1259765625;12721.033666294643;12721.033666294643;23078650
20/04/2011;13660.576171875;13660.576171875;13213.177388953329;13257.917267245497;32044250
21/04/2011;13839.533203125;13973.752813931169;13690.400302229256;13869.35978330415;27071850
22/04/2011;13481.6171875;13824.6229345271;13451.79060080199;13779.883054480088;18825450
25/04/2011;13257.9111328125;13586.003421813484;13257.9111328125;13436.870563176673;14338950
26/04/2011;13377.2236328125;13407.050218392907;13123.697655379041;13407.050218392907;19174650
27/04/2011;13779.8779296875;13824.617793095576;13586.005188252502;13675.484915068655;26379400
28/04/2011;13421.9638671875;13824.622783203125;13407.050574001736;13779.882903645834;20803400
29/04/2011;13317.5712890625;13541.27069481383;13123.698470744679;13436.87763879654;21415000
02/05/2011;13899.1865234375;13973.752974743496;13481.614396123927;13571.094137691121;32544850
03/05/2011;13988.66796875;14018.494552905117;13750.055295509062;13958.841384594883;25366500
04/05/2011;13645.658203125;13929.010668545083;13421.958888319672;13869.357517930328;25769850
06/05/2011;13407.0517578125;13630.751175351084;13347.398579802211;13407.0517578125;23637450
09/05/2011;13287.7421875;13586.008005401234;13287.7421875;13541.26813271605;13543350
11/05/2011;13302.6533203125;13347.39318573956;13153.520435555633;13257.91345488544;22363750
12/05/2011;13198.2607421875;13436.87336577507;13168.434164239054;13213.174031161723;27616100
13/05/2011;13660.576171875;13779.882513987446;13272.830560009552;13362.310316593886;33438000
16/05/2011;13436.8740234375;13705.313238112167;13392.134154325056;13675.48665870387;16123700
17/05/2011;13272.828125;13392.13444522472;13257.914834971909;13377.221155196628;11549950
18/05/2011;13317.5712890625;13407.05105136303;13213.178233045212;13317.571289062498;16579300
19/05/2011;13123.6943359375;13392.133538263495;13123.6943359375;13287.740515136718;19345200
20/05/2011;13153.521484375;13228.087932699122;13123.694905045351;13198.261353369473;11069950
